X,Y,X,Y,OBJECTID,Status,Score,Match_type,Match_addr,state,fdid,inc_date,inc_no,exp_no,dept_sta,version,inc_type,add_wild,aid,alarm,arrival,inc_cont,lu_clear,shift,alarms,district,act_tak1,act_tak2,act_tak3,app_mod,sup_app,ems_app,oth_app,sup_per,ems_per,oth_per,resou_aid,prop_loss,cont_loss,prop_val,cont_val,ff_death,oth_death,ff_inj,oth_inj,det_alert,haz_rel,mixed_use,prop_use,num_unit,not_res,bldg_invol,acres_burn,less_1acre,on_site_m1,on_site_m2,on_site_m3,mat_stor1,mat_stor2,mat_stor3,area_orig,heat_sourc,first_ign,conf_orig,type_mat,cause_ign,fact_ign_1,fact_ign_2,hum_fac_1,hum_fac_2,hum_fac_3,hum_fac_4,hum_fac_5,hum_fac_6,hum_fac_7,hum_fac_8,age,sex,equip_inv,mob_invol,sup_fac_1,sup_fac_2,sup_fac_3,mob_type,mob_make,mob_model,mob_year,mob_lic_pl,mob_state,mob_vin_no,eq_brand,eq_model,eq_ser_no,eq_year,eq_power,eq_port,struc_type,struc_stat,bldg_above,bldg_below,bldg_lgth,bldg_width,tot_sq_ft,fire_orig,fire_sprd,st_dam_min,st_dam_sig,st_dam_hvy,st_dam_xtr,flame_sprd,item_sprd,mat_sprd,detector,det_type,det_power,det_operat,det_effect,det_fail,aes_pres,aes_type,aes_oper,no_spr_op,aes_fail,census,loc_type,num_mile,street_pre,streetname,streettype,streetsuf,apt_no,city_1,state_id,zip,x_street,responseti,Street_ADR,Flag,AddNumFrom,AddNumTo,GEOID10,NAMELSAD10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
-77.17617537,38.88556532,-77.17617537,38.88556532,26,M,100,A,"402 W Broad St, Falls Church, Virginia, 22046",VA,1300,4/17/2010,1070031,0,106,5,111,0,1,,,,,A,1,4602,12,51,52,0,6,0,0,18,0,0,0,4000,2000,0,0,0,0,0,0,1,,58,429,1,,1,,,NNN,,,N,,,24,60,51,,68,5,52,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,4,0,,,400,3,1,0,0,0,0,,,,1,5,7,2,1,,1,1,1,1,,,1,402,W,BROAD,ST,,307,Falls Church,VA,22046,,219,402 W BROAD ST,1,,,51610500100,Census Tract 5001,1524546,0,38.8897746,-77.1759258
-77.17617537,38.88556532,-77.17617537,38.88556532,27,M,100,A,"402 W Broad St, Falls Church, Virginia, 22046",VA,1300,6/1/2013,1520033,0,106,5,111,0,1,,,,,A,1,4602,10,11,12,0,6,2,0,17,3,0,0,75000,20000,0,0,0,0,0,0,,,,400,1,,0,,,NNN,,,N,,,24,10,51,,68,2,12,,N,0,,,,,,,0,0,646,N,NNN,0,0,,,,,,,,,,,,10,2,1,2,4,0,,,5,3,2,0,0,0,0,,,,N,,,,,,N,0,0,0,,,1,402,W,BROAD,ST,,311,Falls Church,VA,22046,,278,402 W BROAD ST,1,,,51610500100,Census Tract 5001,1524546,0,38.8897746,-77.1759258
-77.16988391,38.88312594,-77.16988391,38.88312594,28,M,100,A,"220 N Washington St, Falls Church, Virginia, 22046",VA,1300,6/25/2010,1760057,0,106,5,111,0,2,,,,,C,1,4602,11,12,45,0,5,0,0,14,0,0,0,600,100,0,0,0,0,0,0,,,,181,0,,0,,,NNN,,,N,,,26,12,30,,71,U,UU,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,3,1,,,25,1,1,0,0,0,0,,,,N,,,,,,N,0,0,0,,,1,220,N,WASHINGTON,ST,,,Falls Church,VA,22046,,175,220 N WASHINGTON ST,1,,,51610500300,Census Tract 5003,1708316,0,38.8789302,-77.161962
-77.18036506,38.88036392,-77.18036506,38.88036392,29,M,100,A,"110 W Westmoreland Rd, Falls Church, Virginia, 22046",VA,1300,7/2/2012,1840081,0,106,5,111,0,2,,,,,C,1,4602,11,12,21,0,1,0,0,4,0,0,0,3500,3000,3500,3000,0,0,0,0,2,,,808,0,,0,,,NNN,,,N,,,94,13,UU,,UU,2,12,34,N,0,,,,,,,0,0,211,N,NNN,0,0,,,,,,,,,,,,11,2,1,2,1,0,,,500,1,5,0,0,0,0,,,,N,,,,,,N,0,0,0,,,1,110,W,WESTMORELAND,RD,,,Falls Church,VA,22046,,487,110 W WESTMORELAND RD,1,,,51610500200,Census Tract 5002,1943951,6,38.8845751,-77.184449
-77.16819005,38.87855715,-77.16819005,38.87855715,30,M,100,A,"122 Rolling Trce, Falls Church, Virginia, 22046",VA,1300,12/7/2008,3420033,1,,5,111,0,2,,,,,b,1,0,11,0,0,0,1,0,0,4,0,0,0,200000,10000,200000,10000,0,0,0,0,,,,419,3,,0,,,NNN,,,N,,,74,60,UU,,UU,0,71,,N,0,,,,,,,0,0,NNN,N,213,732,0,,,,,,,,,,,,,0,1,2,4,0,,,600,4,5,0,0,0,0,,11,86,N,,,,,,N,0,0,0,,,1,122,,Rolling,TRCE,,,Falls Church,VA,22046,,87373,122 Rolling TRCE,1,,,51610500300,Census Tract 5003,1708316,0,38.8789302,-77.161962
-77.16824997,38.87857674,-77.16824997,38.87857674,31,M,100,A,"124 Rolling Trce, Falls Church, Virginia, 22046",VA,1300,12/7/2008,3420033,0,106,5,111,0,1,,,,,B,2,4602,10,11,12,0,28,2,0,49,3,0,0,200000,30000,200000,30000,0,0,1,0,1,,,419,3,,3,,,NNN,,,N,,,UU,UU,UU,,UU,5,UU,,N,0,,,,,,,0,0,NNN,N,112,121,141,,,,,,,,,,,,,0,8,2,3,0,,,0,3,5,0,0,0,3,,,,1,1,1,2,1,,N,0,0,0,,,1,124,,ROLLING,TRCE,,,Falls Church,VA,22046,,281,124 ROLLING TRCE,1,,,51610500300,Census Tract 5003,1708316,0,38.8789302,-77.161962
-77.15947304,38.8813376,-77.15947304,38.8813376,32,M,100,A,"513 E Columbia St, Falls Church, Virginia, 22046",VA,1300,7/20/2013,2010068,0,106,5,111,0,2,,,,,C,2,4602,10,11,12,0,16,0,0,27,0,0,0,345000,0,0,0,0,0,0,0,,,,419,1,,0,,,NNN,,,N,,,62,UU,UU,,UU,5,UU,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,2,0,,,3000,1,4,0,0,0,0,,,,N,,,,,,N,0,0,0,,,1,513,E,COLUMBIA,ST,,,Falls Church,VA,22046,,323,513 E COLUMBIA ST,1,,,51610500300,Census Tract 5003,1708316,0,38.8789302,-77.161962
-77.17154089,38.88577274,-77.17154089,38.88577274,33,M,100,A,"223 Little Falls St, Falls Church, Virginia, 22046",VA,1300,5/5/2011,1250041,0,,5,111,0,1,,,,,A,1,4602,11,12,51,0,10,2,0,22,3,0,0,1000,0,0,0,0,0,0,0,,,,121,0,,0,,,NNN,,,N,,,73,UU,16,,UU,5,UU,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,1,0,,,10,1,1,0,0,0,0,,,,N,,,,,,N,0,0,0,,,1,223,,LITTLE FALLS,ST,,,Falls Church,VA,22046,,275,223 LITTLE FALLS ST,1,,,51610500100,Census Tract 5001,1524546,0,38.8897746,-77.1759258
-77.18253596,38.8896156,-77.18253596,38.8896156,34,M,100,A,"913 W Broad St, Falls Church, Virginia, 22046",VA,1300,7/30/2011,2110037,0,,5,111,0,2,,,,,B,1,4605,11,12,51,0,5,0,0,14,0,0,0,9000,1000,0,0,0,0,0,0,,,,161,0,,0,,,NNN,,,N,,,24,UU,UU,,UU,5,UU,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,1,0,,,1200,1,4,1,0,0,0,,76,31,N,,,,,,N,0,0,0,,,1,913,W,BROAD,ST,,,Falls Church,VA,22046,,261,913 W BROAD ST,1,,,51610500100,Census Tract 5001,1524546,0,38.8897746,-77.1759258
-77.18926529,38.88739054,-77.18926529,38.88739054,36,M,100,A,"902 Madison Ln, Falls Church, Virginia, 22046",VA,1300,5/27/2010,1470041,0,106,5,111,0,1,,,,,C,1,4601,11,12,21,0,5,0,0,14,0,0,0,30000,15000,0,0,0,0,0,0,2,,,419,1,,0,,,NNN,,,N,,,14,UU,UU,,UU,U,UU,,N,0,,,,,,,0,0,NNN,N,NNN,0,0,,,,,,,,,,,,,0,1,2,1,1,,,1125,1,3,0,0,0,0,,,,1,U,U,U,,U,N,0,0,0,,,1,902,,MADISON,LN,,,Falls Church,VA,22046,,363,902 MADISON LN,1,,,51610500200,Census Tract 5002,1943951,6,38.8845751,-77.184449
